date,temperatureC,weather
2004-08-03,16.579310344827586,Overcast
2004-08-04,17.31538461538462,Partly Cloudy
2004-08-05,17.232142857142858,Scattered Clouds
2004-08-06,17.99285714285714,Partly Cloudy
2004-08-07,18.224000000000004,Partly Cloudy
2004-08-08,17.64166666666667,Partly Cloudy
2004-08-09,16.951724137931034,Partly Cloudy
2004-08-10,17.22307692307692,Partly Cloudy
2004-08-11,16.468,Scattered Clouds
2004-08-12,17.52692307692308,Scattered Clouds
2004-08-13,18.388888888888886,Partly Cloudy
2004-08-14,16.35833333333333,Mostly Cloudy
2004-08-15,17.54642857142857,Scattered Clouds
2004-08-16,17.952,Scattered Clouds
2004-08-17,17.965384615384615,Scattered Clouds
2004-08-18,16.908000000000005,Scattered Clouds
2004-08-19,18.1,Mostly Cloudy
2004-08-20,18.87037037037037,Partly Cloudy
2004-08-21,18.4,Scattered Clouds
2004-08-22,19.114285714285717,Mostly Cloudy
2004-08-23,18.846428571428568,Mostly Cloudy
2004-08-24,18.23225806451613,Mostly Cloudy
2004-08-25,18.935483870967733,Scattered Clouds
2004-08-26,19.246153846153845,Clear
2004-08-27,23.40833333333333,Clear
2004-08-28,21.744000000000007,Clear
2004-08-29,17.253571428571433,Partly Cloudy
2004-08-30,17.646153846153847,Partly Cloudy
2004-08-31,18.611538461538462,Partly Cloudy
2004-09-01,18.437500000000004,Partly Cloudy
2004-09-02,17.729166666666668,Clear
2004-09-03,21.337500000000002,Clear
2004-09-04,25.63333333333333,Clear
2004-09-05,23.837500000000002,Clear
2004-09-06,23.825000000000006,Clear
2004-09-07,22.104166666666668,Clear
2004-09-08,21.00833333333333,Clear
2004-09-09,18.36666666666667,Clear
2004-09-10,17.448,Partly Cloudy
2004-09-11,18.492,Partly Cloudy
2004-09-12,17.362068965517242,Partly Cloudy
2004-09-13,17.503999999999998,Partly Cloudy
2004-09-14,19.55416666666667,Clear
2004-09-15,19.691666666666666,Clear
2004-09-16,17.81666666666667,Clear
